customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
8794-VHVEG,Female,0,Yes,Yes,7,No,No phone service,DSL,No,No internet service,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,74.26,519.82,Yes
8817-HZTQW,Female,0,No,No,20,No,Yes,Fiber optic,Yes,No,No internet service,No internet service,No internet service,Yes,Two year,No,Electronic check,43.72,874.4,No
3709-MOTEO,Female,0,No,No,4,No,Yes,No,No,Yes,No internet service,No,No internet service,No,Month-to-month,Yes,Electronic check,56.46,225.84,No
1028-VHVEG,Male,0,Yes,Yes,41,Yes,No phone service,DSL,Yes,No internet service,Yes,No,No internet service,Yes,Two year,Yes,Electronic check,76.11,3120.51,Yes
2473-QPYBK,Female,0,Yes,No,48,Yes,No,DSL,No,Yes,No internet service,No,Yes,No internet service,Month-to-month,Yes,Mailed check,47.64,2286.72,No
8346-MOTEO,Male,0,No,Yes,66,No,No,No,Yes,Yes,No,No,No internet service,No internet service,One year,Yes,Credit card (automatic),56.89,3754.74,No
3829-HZTQW,Female,1,Yes,No,21,Yes,Yes,DSL,No internet service,No,No internet service,No internet service,Yes,Yes,One year,No,Mailed check,39.42,827.82,Yes
6767-HZTQW,Male,0,No,Yes,21,No,Yes,Fiber optic,No internet service,No,No internet service,No internet service,No,No internet service,Two year,No,Credit card (automatic),47.76,1002.96,No
1879-QPYBK,Male,0,Yes,No,2,No,Yes,Fiber optic,Yes,No internet service,No internet service,No,Yes,Yes,Two year,No,Mailed check,92.88,185.76,Yes
7468-MOTEO,Male,0,No,Yes,49,Yes,No,Fiber optic,No internet service,No,Yes,No internet service,No internet service,No,Two year,No,Credit card (automatic),88.53,4337.97,No
6052-HZTQW,Male,0,Yes,No,35,Yes,No,Fiber optic,No internet service,Yes,No internet service,No,Yes,No internet service,One year,No,Bank transfer (automatic),109.2,3822.0,No
1716-HZTQW,Female,0,Yes,Yes,42,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,42.03,1765.26,No
3206-VHVEG,Male,0,Yes,Yes,15,Yes,Yes,No,No,No internet service,No internet service,No,Yes,Yes,Two year,Yes,Electronic check,108.25,1623.75,No
6649-GNVDE,Female,0,Yes,No,2,No,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,44.43,88.86,No
3078-QPYBK,Female,0,Yes,Yes,37,Yes,No phone service,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Credit card (automatic),22.49,832.13,No
